"","Transect","Elev","Plot","DOY","Field_week","Soilmo_av","Species","Veg","Buds","Flowers","Fruit","Disp","Plants_obs","Leaves_obs","X0","X1","X5","X10","X25","X50","X75","X100","Year","percleavesdamaged","apparentleafdamage","PlantID","Plot.ID","Topography","gdd_2016","gdd_2017","gdd_2018","Cover","sdddoy_2016","sdddoy_2017","sdddoy_2018","gdd","SDDDOY"
"81","GB",1668,"9",197,3,0.276,"LUPARC",1,0,0,0,0,6,30,29,0,1,0,0,0,0,0,"2016",0.0333333333333333,0.001,"GB_1668_9_LUPARC","GB-1668-9","Cove",320,382,356,68.12,190,186,184,320,190
"83","GB",1668,"9",197,3,NA,"LUPARC",1,1,1,0,0,6,60,52,4,3,1,0,0,0,0,"2016",0.133333333333333,0.00308333333333333,"GB_1668_9_LUPARC","GB-1668-9","Cove",320,382,356,68.12,190,186,184,320,190
"91","GB",1740,"1",222,7,NA,"LUPARC",1,0,1,0,0,5,50,41,5,3,1,0,0,0,0,"2016",0.18,0.0038,"GB_1740_1_LUPARC","GB-1740-1","Ridge ",352,366,328,68.64,187,183,177,352,187
"94","GB",1740,"1",196,3,0.282,"LUPARC",NA,0,0,0,0,5,80,63,9,4,2,0,2,0,0,"2016",0.2125,0.0133125,"GB_1740_1_LUPARC","GB-1740-1","Ridge ",352,366,328,68.64,187,183,177,352,187
"95","GB",1740,"1",235,9,NA,"LUPARC",1,0,0,1,0,4,80,48,5,16,10,1,0,0,0,"2016",0.4,0.017875,"GB_1740_1_LUPARC","GB-1740-1","Ridge ",352,366,328,68.64,187,183,177,352,187
"99","GB",1740,"1",209,5,0.2297,"LUPARC",1,1,0,0,0,4,50,47,3,0,0,0,0,0,0,"2016",0.06,3e-04,"GB_1740_1_LUPARC","GB-1740-1","Ridge ",352,366,328,68.64,187,183,177,352,187
"101","GB",1740,"2",235,9,NA,"LUPARC",1,0,0,1,0,4,80,44,11,9,14,2,0,0,0,"2016",0.45,0.0215625,"GB_1740_2_LUPARC","GB-1740-2","Ridge ",352,366,328,69.94,189,184,179,352,189
"106","GB",1740,"2",222,7,NA,"LUPARC",1,0,1,0,0,5,50,44,4,2,0,0,0,0,0,"2016",0.12,0.0016,"GB_1740_2_LUPARC","GB-1740-2","Ridge ",352,366,328,69.94,189,184,179,352,189
"108","GB",1740,"2",196,3,0.2413,"LUPARC",1,0,0,0,0,5,90,86,1,1,0,1,1,0,0,"2016",0.0444444444444444,0.0065,"GB_1740_2_LUPARC","GB-1740-2","Ridge ",352,366,328,69.94,189,184,179,352,189
"110","GB",1740,"2",209,5,0.161,"LUPARC",1,1,1,0,0,5,100,80,6,10,1,1,1,0,1,"2016",0.2,0.0183,"GB_1740_2_LUPARC","GB-1740-2","Ridge ",352,366,328,69.94,189,184,179,352,189
"114","GB",1740,"3",222,7,0.219,"LUPARC",1,0,1,1,0,5,50,9,18,17,5,1,0,0,0,"2016",0.82,0.023,"GB_1740_3_LUPARC","GB-1740-3","Ridge ",352,366,328,86.58,184,180,174,352,184
"117","GB",1740,"3",196,3,0.2063,"LUPARC",1,0,0,0,0,5,90,63,4,8,5,2,8,0,0,"2016",0.3,0.0442777777777778,"GB_1740_3_LUPARC","GB-1740-3","Ridge ",352,366,328,86.58,184,180,174,352,184
"118","GB",1740,"3",235,9,NA,"LUPARC",1,0,0,1,0,5,50,4,3,22,14,6,1,0,0,"2016",0.92,0.063,"GB_1740_3_LUPARC","GB-1740-3","Ridge ",352,366,328,86.58,184,180,174,352,184
"120","GB",1740,"3",209,5,NA,"LUPARC",1,1,1,0,0,5,50,43,4,2,0,1,0,0,0,"2016",0.14,0.0051,"GB_1740_3_LUPARC","GB-1740-3","Ridge ",352,366,328,86.58,184,180,174,352,184
"123","GB",1740,"4",237,9,0.0697,"LUPARC",1,0,0,1,0,4,80,53,6,9,8,2,1,0,1,"2016",0.3375,0.03125,"GB_1740_4_LUPARC","GB-1740-4","Slope",352,366,328,67.6,187,184,176,352,187
"124","GB",1740,"4",209,5,0.1678,"LUPARC",1,1,1,0,0,5,100,88,3,5,3,0,1,0,0,"2016",0.12,0.00765,"GB_1740_4_LUPARC","GB-1740-4","Slope",352,366,328,67.6,187,184,176,352,187
"125","GB",1740,"4",222,7,NA,"LUPARC",1,0,1,1,0,3,60,49,8,3,0,0,0,0,0,"2016",0.183333333333333,0.00216666666666667,"GB_1740_4_LUPARC","GB-1740-4","Slope",352,366,328,67.6,187,184,176,352,187
"135","GB",1740,"4",196,3,0.2347,"LUPARC",1,1,1,0,0,5,70,64,0,2,2,2,0,0,0,"2016",0.0857142857142857,0.008,"GB_1740_4_LUPARC","GB-1740-4","Slope",352,366,328,67.6,187,184,176,352,187
"140","GB",1740,"5",237,9,NA,"LUPARC",1,0,0,1,0,5,75,52,4,8,9,1,1,0,0,"2016",0.306666666666667,0.0198,"GB_1740_5_LUPARC","GB-1740-5","Slope",352,366,328,71.76,188,188,188,352,188
"141","GB",1740,"5",222,7,NA,"LUPARC",1,0,1,0,0,6,60,54,2,3,1,0,0,0,0,"2016",0.1,0.00291666666666667,"GB_1740_5_LUPARC","GB-1740-5","Slope",352,366,328,71.76,188,188,188,352,188
"143","GB",1740,"5",196,3,0.2777,"LUPARC",1,1,0,0,0,2,20,19,1,0,0,0,0,0,0,"2016",0.05,0.00025,"GB_1740_5_LUPARC","GB-1740-5","Slope",352,366,328,71.76,188,188,188,352,188
"145","GB",1740,"5",209,5,0.212,"LUPARC",1,1,1,0,0,NA,60,57,2,1,0,0,0,0,0,"2016",0.05,0.000666666666666667,"GB_1740_5_LUPARC","GB-1740-5","Slope",352,366,328,71.76,188,188,188,352,188
"146","GB",1740,"6",237,9,NA,"LUPARC",1,0,0,1,0,4,70,12,5,30,16,6,1,0,0,"2016",0.828571428571429,0.0507142857142857,"GB_1740_6_LUPARC","GB-1740-6","Slope",352,366,328,74.88,184,182,175,352,184
"150","GB",1740,"6",196,3,0.2027,"LUPARC",1,0,0,0,0,6,60,51,4,4,0,0,1,0,0,"2016",0.15,0.00858333333333333,"GB_1740_6_LUPARC","GB-1740-6","Slope",352,366,328,74.88,184,182,175,352,184
"151","GB",1740,"6",209,5,0.145,"LUPARC",1,1,0,0,0,5,50,44,5,1,0,0,0,0,0,"2016",0.12,0.0011,"GB_1740_6_LUPARC","GB-1740-6","Slope",352,366,328,74.88,184,182,175,352,184
"153","GB",1740,"6",222,7,NA,"LUPARC",1,0,1,1,0,5,50,16,4,17,13,0,0,0,0,"2016",0.68,0.0301,"GB_1740_6_LUPARC","GB-1740-6","Slope",352,366,328,74.88,184,182,175,352,184
"156","GB",1740,"7",237,9,NA,"LUPARC",1,0,0,1,0,5,45,29,1,5,6,2,2,0,0,"2016",0.355555555555556,0.0378888888888889,"GB_1740_7_LUPARC","GB-1740-7","Cove",352,366,328,47.58,183,176,169,352,183
"158","GB",1740,"7",209,5,0.206,"LUPARC",1,1,1,0,0,5,100,89,5,3,3,0,0,0,0,"2016",0.11,0.0034,"GB_1740_7_LUPARC","GB-1740-7","Cove",352,366,328,47.58,183,176,169,352,183
"159","GB",1740,"7",196,3,0.2127,"LUPARC",1,1,0,0,0,6,50,43,4,1,0,2,0,0,0,"2016",0.14,0.008,"GB_1740_7_LUPARC","GB-1740-7","Cove",352,366,328,47.58,183,176,169,352,183
"164","GB",1740,"7",222,7,0.203,"LUPARC",1,0,1,1,0,5,50,46,0,0,4,0,0,0,0,"2016",0.08,0.006,"GB_1740_7_LUPARC","GB-1740-7","Cove",352,366,328,47.58,183,176,169,352,183
"167","GB",1740,"8",196,3,0.385,"LUPARC",1,0,0,0,0,4,40,39,0,1,0,0,0,0,0,"2016",0.025,0.00075,"GB_1740_8_LUPARC","GB-1740-8","Cove",352,366,328,85.54,189,187,181,352,189
"173","GB",1740,"8",222,7,0.3843,"LUPARC",1,0,1,0,0,4,60,46,2,8,4,0,0,0,0,"2016",0.233333333333333,0.00916666666666667,"GB_1740_8_LUPARC","GB-1740-8","Cove",352,366,328,85.54,189,187,181,352,189
"180","GB",1740,"8",237,9,0.237,"LUPARC",1,0,0,0,0,4,55,31,7,4,10,2,1,0,0,"2016",0.436363636363636,0.0296363636363636,"GB_1740_8_LUPARC","GB-1740-8","Cove",352,366,328,85.54,189,187,181,352,189
"188","GB",1740,"9",235,9,0.122,"LUPARC",1,0,0,1,0,5,50,21,4,12,10,3,0,0,0,"2016",0.58,0.0331,"GB_1740_9_LUPARC","GB-1740-9","Cove",352,366,328,72.54,202,177,170,352,202
"189","GB",1740,"9",209,5,0.2345,"LUPARC",1,1,1,0,0,5,70,61,3,3,2,0,0,0,1,"2016",0.128571428571429,0.0161428571428571,"GB_1740_9_LUPARC","GB-1740-9","Cove",352,366,328,72.54,202,177,170,352,202
"192","GB",1740,"9",222,7,0.3133,"LUPARC",1,0,1,0,0,4,50,48,1,0,0,1,0,0,0,"2016",0.04,0.0036,"GB_1740_9_LUPARC","GB-1740-9","Cove",352,366,328,72.54,202,177,170,352,202
"193","GB",1740,"9",197,3,0.2827,"LUPARC",1,1,0,0,0,5,70,58,7,2,1,1,1,0,0,"2016",0.171428571428571,0.0102857142857143,"GB_1740_9_LUPARC","GB-1740-9","Cove",352,366,328,72.54,202,177,170,352,202
"200","GB",1809,"1",196,3,0.3377,"LUPARC",1,0,0,0,0,5,50,48,2,0,0,0,0,0,0,"2016",0.04,2e-04,"GB_1809_1_LUPARC","GB-1809-1","Ridge ",340,361,314,42.12,182,178,169,340,182
"201","GB",1809,"1",207,5,0.253,"LUPARC",1,1,0,0,0,3,25,23,1,1,0,0,0,0,0,"2016",0.08,0.0014,"GB_1809_1_LUPARC","GB-1809-1","Ridge ",340,361,314,42.12,182,178,169,340,182
"202","GB",1809,"1",222,7,NA,"LUPARC",1,0,1,0,0,2,40,35,2,2,1,0,0,0,0,"2016",0.125,0.003625,"GB_1809_1_LUPARC","GB-1809-1","Ridge ",340,361,314,42.12,182,178,169,340,182
"205","GB",1809,"1",237,9,0.1557,"LUPARC",1,0,0,1,0,2,30,14,2,6,7,1,0,0,0,"2016",0.533333333333333,0.0296666666666667,"GB_1809_1_LUPARC","GB-1809-1","Ridge ",340,361,314,42.12,182,178,169,340,182
"214","GB",1809,"2",196,3,0.1913,"LUPARC",1,0,0,0,0,1,10,9,1,0,0,0,0,0,0,"2016",0.1,5e-04,"GB_1809_2_LUPARC","GB-1809-2","Ridge ",340,361,314,26.78,183,184,172,340,183
"219","GB",1809,"2",222,7,NA,"LUPARC",1,0,1,0,0,3,50,41,1,5,2,1,0,0,0,"2016",0.18,0.0096,"GB_1809_2_LUPARC","GB-1809-2","Ridge ",340,361,314,26.78,183,184,172,340,183
"220","GB",1809,"2",237,9,0.1707,"LUPARC",1,0,0,1,0,3,26,20,1,1,4,0,0,0,0,"2016",0.230769230769231,0.0128846153846154,"GB_1809_2_LUPARC","GB-1809-2","Ridge ",340,361,314,26.78,183,184,172,340,183
"223","GB",1809,"3",237,9,0.0897,"LUPARC",1,0,0,1,0,4,50,19,4,9,13,4,1,0,0,"2016",0.62,0.0468,"GB_1809_3_LUPARC","GB-1809-3","Ridge ",340,361,314,48.1,182,180,172,340,182
"226","GB",1809,"3",222,7,0.1943,"LUPARC",1,1,1,0,0,5,60,44,6,6,3,1,0,0,0,"2016",0.266666666666667,0.0101666666666667,"GB_1809_3_LUPARC","GB-1809-3","Ridge ",340,361,314,48.1,182,180,172,340,182
"230","GB",1809,"3",196,3,0.2193,"LUPARC",1,1,0,0,0,5,50,50,0,0,0,0,0,0,0,"2016",0,0,"GB_1809_3_LUPARC","GB-1809-3","Ridge ",340,361,314,48.1,182,180,172,340,182
"232","GB",1809,"3",207,5,0.189,"LUPARC",1,1,0,0,0,5,59,54,2,3,0,0,0,0,0,"2016",0.0847457627118644,0.00169491525423729,"GB_1809_3_LUPARC","GB-1809-3","Ridge ",340,361,314,48.1,182,180,172,340,182
"233","GB",1809,"4",237,9,NA,"LUPARC",1,0,0,1,0,4,60,21,8,21,7,2,1,0,0,"2016",0.65,0.032,"GB_1809_4_LUPARC","GB-1809-4","Slope",340,361,314,64.74,182,176,176,340,182
"235","GB",1809,"4",196,3,0.1943,"LUPARC",1,0,0,0,0,4,80,59,9,7,4,0,1,0,0,"2016",0.2625,0.011625,"GB_1809_4_LUPARC","GB-1809-4","Slope",340,361,314,64.74,182,176,176,340,182
"237","GB",1809,"4",222,7,NA,"LUPARC",1,0,1,1,0,5,50,32,5,9,2,2,0,0,0,"2016",0.36,0.0159,"GB_1809_4_LUPARC","GB-1809-4","Slope",340,361,314,64.74,182,176,176,340,182
"238","GB",1809,"4",207,5,0.1765,"LUPARC",1,1,1,0,0,5,50,38,1,9,1,1,0,0,0,"2016",0.24,0.0105,"GB_1809_4_LUPARC","GB-1809-4","Slope",340,361,314,64.74,182,176,176,340,182
"241","GB",1809,"5",237,9,NA,"LUPARC",1,0,0,1,0,4,55,20,6,14,9,6,0,0,0,"2016",0.636363636363636,0.0395454545454545,"GB_1809_5_LUPARC","GB-1809-5","Slope",340,361,314,23.92,183,181,161,340,183
"244","GB",1809,"5",222,7,0.2513,"LUPARC",1,0,1,0,0,5,50,28,10,4,7,1,0,0,0,"2016",0.44,0.0174,"GB_1809_5_LUPARC","GB-1809-5","Slope",340,361,314,23.92,183,181,161,340,183
"246","GB",1809,"5",207,5,0.181,"LUPARC",1,1,1,0,0,5,50,41,2,5,0,2,0,0,0,"2016",0.18,0.0102,"GB_1809_5_LUPARC","GB-1809-5","Slope",340,361,314,23.92,183,181,161,340,183
"248","GB",1809,"5",196,3,0.232,"LUPARC",1,1,1,0,0,7,70,62,1,4,1,1,1,0,0,"2016",0.114285714285714,0.0107142857142857,"GB_1809_5_LUPARC","GB-1809-5","Slope",340,361,314,23.92,183,181,161,340,183
"252","GB",1809,"6",207,5,0.199,"LUPARC",1,1,1,0,0,5,50,42,2,6,0,0,0,0,0,"2016",0.16,0.0038,"GB_1809_6_LUPARC","GB-1809-6","Slope",340,361,314,22.62,181,175,162,340,181
"253","GB",1809,"6",196,3,0.261,"LUPARC",1,1,0,0,0,5,50,44,3,3,0,0,0,0,0,"2016",0.12,0.0021,"GB_1809_6_LUPARC","GB-1809-6","Slope",340,361,314,22.62,181,175,162,340,181
"254","GB",1809,"6",237,9,NA,"LUPARC",1,0,0,1,0,3,55,35,5,6,5,4,0,0,0,"2016",0.363636363636364,0.0232727272727273,"GB_1809_6_LUPARC","GB-1809-6","Slope",340,361,314,22.62,181,175,162,340,181
"256","GB",1809,"6",222,7,NA,"LUPARC",1,0,1,0,0,5,50,47,0,2,1,0,0,0,0,"2016",0.06,0.0027,"GB_1809_6_LUPARC","GB-1809-6","Slope",340,361,314,22.62,181,175,162,340,181
"257","GB",1809,"7",222,7,0.4053,"LUPARC",1,0,1,1,0,5,50,42,3,3,1,1,0,0,0,"2016",0.16,0.0071,"GB_1809_7_LUPARC","GB-1809-7","Cove",340,361,314,81.64,178,171,162,340,178
"262","GB",1809,"7",207,5,0.4173,"LUPARC",1,1,1,0,1,5,50,44,3,2,0,0,1,0,0,"2016",0.12,0.009,"GB_1809_7_LUPARC","GB-1809-7","Cove",340,361,314,81.64,178,171,162,340,178
"267","GB",1809,"7",237,9,0.1717,"LUPARC",1,0,0,1,0,5,80,37,13,20,9,1,0,0,0,"2016",0.5375,0.0189375,"GB_1809_7_LUPARC","GB-1809-7","Cove",340,361,314,81.64,178,171,162,340,178
"270","GB",1809,"7",196,3,0.475,"LUPARC",1,1,1,0,0,5,50,47,3,0,0,0,0,0,0,"2016",0.06,3e-04,"GB_1809_7_LUPARC","GB-1809-7","Cove",340,361,314,81.64,178,171,162,340,178
"275","GB",1809,"8",222,7,NA,"LUPARC",1,0,1,0,0,5,50,42,7,1,0,0,0,0,0,"2016",0.16,0.0013,"GB_1809_8_LUPARC","GB-1809-8","Cove",340,361,314,78,184,178,170,340,184
"285","GB",1809,"8",237,9,0.1663,"LUPARC",1,0,0,1,0,4,80,47,9,14,7,3,0,0,0,"2016",0.4125,0.0189375,"GB_1809_8_LUPARC","GB-1809-8","Cove",340,361,314,78,184,178,170,340,184
"286","GB",1809,"8",196,3,0.397,"LUPARC",1,0,0,0,0,5,50,48,2,0,0,0,0,0,0,"2016",0.04,2e-04,"GB_1809_8_LUPARC","GB-1809-8","Cove",340,361,314,78,184,178,170,340,184
"289","GB",1809,"8",207,5,0.3607,"LUPARC",1,1,0,0,0,5,50,48,1,1,0,0,0,0,0,"2016",0.04,7e-04,"GB_1809_8_LUPARC","GB-1809-8","Cove",340,361,314,78,184,178,170,340,184
"301","GB",1809,"9",237,9,NA,"LUPARC",1,0,0,1,0,4,65,31,12,14,5,2,1,0,0,"2016",0.523076923076923,0.0243076923076923,"GB_1809_9_LUPARC","GB-1809-9","Cove",340,361,314,59.28,184,178,168,340,184
"302","GB",1809,"9",207,5,0.2297,"LUPARC",1,1,1,0,0,5,50,40,3,7,0,0,0,0,0,"2016",0.2,0.0045,"GB_1809_9_LUPARC","GB-1809-9","Cove",340,361,314,59.28,184,178,168,340,184
"306","GB",1809,"9",222,7,NA,"LUPARC",1,0,1,0,0,5,50,47,2,1,0,0,0,0,0,"2016",0.06,8e-04,"GB_1809_9_LUPARC","GB-1809-9","Cove",340,361,314,59.28,184,178,168,340,184
"309","GB",1809,"9",196,3,0.285,"LUPARC",1,0,0,0,0,5,75,65,4,2,2,1,1,0,0,"2016",0.133333333333333,0.0104,"GB_1809_9_LUPARC","GB-1809-9","Cove",340,361,314,59.28,184,178,168,340,184
"312","GB",1940,"1",210,5,0.1035,"LUPARC",1,0,0,0,0,4,40,28,6,2,1,3,0,0,0,"2016",0.3,0.01725,"GB_1940_1_LUPARC","GB-1940-1","Ridge ",337,346,313,92.04,201,188,173,337,201
"317","GB",1940,"1",236,9,0.1147,"LUPARC",1,0,0,0,0,3,60,5,5,12,17,14,7,0,0,"2016",0.916666666666667,0.11225,"GB_1940_1_LUPARC","GB-1940-1","Ridge ",337,346,313,92.04,201,188,173,337,201
"322","GB",1940,"1",221,7,NA,"LUPARC",1,0,0,0,0,3,60,15,13,13,13,4,1,1,0,"2016",0.75,0.0521666666666667,"GB_1940_1_LUPARC","GB-1940-1","Ridge ",337,346,313,92.04,201,188,173,337,201
"324","GB",1940,"2",236,9,0.0803,"LUPARC",1,0,0,0,0,4,60,11,14,12,8,12,3,0,0,"2016",0.816666666666667,0.0709166666666667,"GB_1940_2_LUPARC","GB-1940-2","Ridge ",337,346,313,89.96,192,187,174,337,192
"325","GB",1940,"2",194,3,0.2277,"LUPARC",1,0,0,0,0,5,60,46,8,0,6,0,0,0,0,"2016",0.233333333333333,0.00816666666666667,"GB_1940_2_LUPARC","GB-1940-2","Ridge ",337,346,313,89.96,192,187,174,337,192
"329","GB",1940,"2",221,7,NA,"LUPARC",1,1,1,0,0,4,80,31,6,18,15,6,2,2,0,"2016",0.6125,0.0593125,"GB_1940_2_LUPARC","GB-1940-2","Ridge ",337,346,313,89.96,192,187,174,337,192
"331","GB",1940,"2",210,5,0.0475,"LUPARC",1,0,0,0,0,5,50,23,15,9,2,1,0,0,0,"2016",0.54,0.0134,"GB_1940_2_LUPARC","GB-1940-2","Ridge ",337,346,313,89.96,192,187,174,337,192
"335","GB",1940,"3",194,3,0.244,"LUPARC",1,0,0,0,0,4,80,45,8,8,8,11,0,0,0,"2016",0.4375,0.0350625,"GB_1940_3_LUPARC","GB-1940-3","Ridge ",337,346,313,92.56,183,182,170,337,183
