Transect,Elev,Plot,Plot ID,Topography,Latitude,Longitude,Cover1,Cover2,Cover3,Cover4,gdd_2016,gdd_2017,gdd_2018,sdd_2016,sdd_2017,sdd_2018
PA,1570,6,PA-1570-6,Slope," 46°46'38.2888"" N"," 121°43'8.9032"" W",24,76,78,15,221,340,281,7/6/16,7/14/17,6/23/18
PA,1570,7,PA-1570-7,Cove," 46°46'37.3590"" N"," 121°43'8.5070"" W",87,82,88,84,221,340,281,5/29/16,7/14/17,7/8/18
PA,1570,8,PA-1570-8,Cove," 46°46'37.5713"" N"," 121°43'8.3768"" W",58,85,87,89,221,340,281,6/5/16,7/15/17,7/11/18
PA,1570,9,PA-1570-9,Cove," 46°46'38.1896"" N"," 121°43'8.4507"" W",70,81,68,60,221,340,281,6/15/16,7/20/17,7/14/18
PA,1570,A1,PA-1570-A1,Air," 46°46'38.5843"" N"," 121°43'9.0999"" W",NA,NA,NA,NA,,,,,,
PA,1570,A1,PA-1570-A1,Air," 46°46'38.5302"" N"," 121°43'9.4321"" W",NA,NA,NA,NA,,,,,,
PA,1680,1,PA-1680-1,Ridge," 46°46'57.4204"" N"," 121°43'12.2291"" W",4,2,28,2,194,292,247,6/22/16,7/5/17,7/3/18
PA,1680,2,PA-1680-2,Ridge," 46°46'55.5689"" N"," 121°43'11.4143"" W",30,19,16,7,194,292,247,6/19/16,7/5/17,7/3/18
PA,1680,3,PA-1680-3,Ridge," 46°46'53'5464"" N"," 121°43'11.8732"" W",5,9,7,11,194,292,247,6/24/16,7/6/17,7/4/18
PA,1680,4,PA-1680-4,Slope," 46°46'57.0238"" N"," 121°43'12.5911"" W",79,69,80,74,194,292,247,6/22/16,6/22/17,6/28/18
PA,1680,5,PA-1680-5,Slope," 46°46'55.4532"" N"," 121°43'12.1413"" W",29,38,84,80,194,292,247,6/18/16,7/16/17,6/23/18
PA,1680,6,PA-1680-6,Slope," 46°46'53'4414"" N"," 121°43'12.5720"" W",20,56,69,12,194,292,247,6/16/16,7/21/17,6/14/18
PA,1680,7,PA-1680-7,Cove," 46°46'55.9774"" N"," 121°43'13.7545"" W",95,96,92,96,194,292,247,7/5/16,7/15/17,7/11/18
PA,1680,8,PA-1680-8,Cove," 46°46'55.1633"" N"," 121°43'13.3444"" W",96,95,95,96,194,292,247,7/13/16,7/20/17,7/15/18
PA,1680,9,PA-1680-9,Cove," 46°46'52.8133"" N"," 121°43'13.6952"" W",94,96,96,90,194,292,247,7/12/16,7/18/17,7/14/18
PA,1680,A1,PA-1680-A1,Air," 46°46'53'5347"" N"," 121°43'12.4830"" W",NA,NA,NA,NA,,,,,,
PA,1680,A2,PA-1680-A2,Air," 46°46'53'7219"" N"," 121°43'12.0557"" W",NA,NA,NA,NA,177,193,155,,,
PA,1791,1,PA-1791-1,Ridge," 46°47'29.4709"" N"," 121°43'4.4705"" W",81,81,92,26,177,193,155,6/30/16,7/7/17,6/28/18
PA,1791,2,PA-1791-2,Ridge," 46°47'29.3473"" N"," 121°43'4.1710"" W",3,5,20,16,177,193,155,6/21/16,7/5/17,6/22/18
PA,1791,3,PA-1791-3,Ridge," 46°47'28.9177"" N"," 121°43'3.4489"" W",47,92,62,68,177,193,155,6/22/16,7/6/17,6/26/18
PA,1791,4,PA-1791-4,Slope," 46°47'29.0110"" N"," 121°43'4.9748"" W",94,82,96,96,177,193,155,6/28/16,7/7/17,6/18/18
PA,1791,5,PA-1791-5,Slope," 46°47'28.5840"" N"," 121°43'4.4750"" W",84,96,96,96,177,193,155,6/29/16,7/11/17,7/1/18
PA,1791,6,PA-1791-6,Slope," 46°47'28.5779"" N"," 121°43'4.1871"" W",96,96,96,91,177,193,155,7/11/16,7/21/17,7/6/18
PA,1791,7,PA-1791-7,Cove," 46°47'28.4864"" N"," 121°43'6.0827"" W",96,96,96,96,177,193,155,7/24/16,7/28/17,7/24/18
PA,1791,8,PA-1791-8,Cove," 46°47'27.8063"" N"," 121°43'5.0786"" W",96,96,96,96,177,193,155,7/15/16,7/21/17,7/19/18
PA,1791,9,PA-1791-9,Cove," 46°47'27.5796"" N"," 121°43'4.7791"" W",96,96,96,96,177,193,155,7/13/16,7/21/17,7/14/18
PA,1791,A1,PA-1791-A1,Air," 46°47'26.4797"" N"," 121°43'3.9732"" W",NA,NA,NA,NA,,,,,,
PA,1901,1,PA-1901-1,Ridge," 46°47'50.3068"" N"," 121°42'38.8650"" W",96,96,96,96,163,185,146,6/26/16,7/3/17,6/22/18
PA,1901,2,PA-1901-2,Ridge," 46°47'50.4795"" N"," 121°42'38.8934"" W",96,96,96,96,163,185,146,6/26/16,6/30/17,6/30/18
PA,1901,3,PA-1901-3,Ridge," 46°47'50.5268"" N"," 121°42'39.0644"" W",96,96,96,94,163,185,146,6/3/16,6/15/17,6/16/18
PA,1901,4,PA-1901-4,Slope," 46°47'50.8544"" N"," 121°42'38.5149"" W",96,96,96,96,163,185,146,7/20/16,7/19/17,7/17/18
PA,1901,5,PA-1901-5,Slope," 46°47'50.8502"" N"," 121°42'38.6571"" W",96,96,96,96,163,185,146,7/14/16,7/13/17,7/12/18
PA,1901,6,PA-1901-6,Slope," 46°47'50.8057"" N"," 121°42'39.2898"" W",96,96,96,96,163,185,146,6/27/16,7/1/17,6/28/18
PA,1901,7,PA-1901-7,Cove," 46°47'53.1365"" N"," 121°42'37.1949"" W",96,96,96,96,163,185,146,8/2/16,8/1/17,7/25/18
PA,1901,8,PA-1901-8,Cove," 46°47'53.4958"" N"," 121°42'37.6778"" W",96,96,96,96,163,185,146,7/27/16,7/22/17,7/16/18
PA,1901,9,PA-1901-9,Cove," 46°47'53.6481"" N"," 121°42'38.1217"" W",96,96,96,96,163,185,146,7/24/16,7/10/17,7/5/18
GB,1668,1,GB-1668-1,Ridge ," 46°55'22.2409"" N"," 121°34'50.8168"" W",6,2,16,19,320,382,356,7/2/16,6/30/17,6/15/18
GB,1668,2,GB-1668-2,Ridge ," 46°55'22.5028"" N"," 121°34'50.5122"" W",8,19,13,7,320,382,356,7/1/16,6/26/17,6/14/18
GB,1668,3,GB-1668-3,Ridge ," 46°55'22.8831"" N"," 121°34'50.2973"" W",19,26,44,21,320,382,356,6/29/16,6/23/17,6/14/18
GB,1668,4,GB-1668-4,Slope," 46°55'22.4369"" N"," 121°34'50.0560"" W",0,27,75,4,320,382,356,7/1/16,7/1/17,6/21/18
GB,1668,5,GB-1668-5,Slope," 46°55'22.7718"" N"," 121°34'49.7395"" W",1,40,74,16,320,382,356,6/30/16,6/27/17,6/18/18
GB,1668,6,GB-1668-6,Slope," 46°55'23.0321"" N"," 121°34'49.8136"" W",33,42,1,2,320,382,356,7/2/16,6/30/17,6/19/18
GB,1668,7,GB-1668-7,Cove," 46°55'23.0804"" N"," 121°34'48.7531"" W",66,49,71,67,320,382,356,7/8/16,7/7/17,7/4/18
GB,1668,8,GB-1668-8,Cove," 46°55'22.9974"" N"," 121°34'49.1315"" W",76,57,60,36,320,382,356,7/8/16,7/7/17,7/2/18
GB,1668,9,GB-1668-9,Cove," 46°55'23.1464"" N"," 121°34'49.1638"" W",72,60,57,73,320,382,356,7/8/16,7/5/17,7/3/18
GB,1740,1,GB-1740-1,Ridge ," 46°55'21.6002"" N"," 121°35'37.1915"" W",83,45,50,86,352,366,328,7/5/16,7/2/17,6/26/18
GB,1740,2,GB-1740-2,Ridge ," 46°55'33.7696"" N"," 121°35'55.7787"" W",95,56,60,58,352,366,328,7/7/16,7/3/17,6/28/18
GB,1740,3,GB-1740-3,Ridge ," 46°55'22.4764"" N"," 121°35'38.5034"" W",88,72,89,84,352,366,328,7/2/16,6/29/17,6/23/18
GB,1740,4,GB-1740-4,Slope," 46°55'21.7945"" N"," 121°35'34.5284"" W",73,37,66,84,352,366,328,7/5/16,7/3/17,6/25/18
GB,1740,5,GB-1740-5,Slope," 46°55'22.0058"" N","121°35'35.0140"" W",84,32,64,96,352,366,328,7/6/16,7/7/17,7/7/17
GB,1740,6,GB-1740-6,Slope," 46°55'22.2032"" N"," 121°35'35.2553"" W",96,72,32,88,352,366,328,7/2/16,7/1/17,6/24/18
GB,1740,7,GB-1740-7,Cove," 46°55'22.0376"" N"," 121°35'34.3461"" W",38,36,88,21,352,366,328,7/1/16,6/25/17,6/18/18
GB,1740,8,GB-1740-8,Cove," 46°55'22.2193"" N"," 121°35'34.3117"" W",84,72,89,84,352,366,328,7/7/16,7/6/17,6/30/18
GB,1740,9,GB-1740-9,Cove," 46°55'23.1541"" N"," 121°35'35.3126"" W",91,68,50,70,352,366,328,7/20/16,6/26/17,6/19/18
GB,1809,1,GB-1809-1,Ridge ," 46°55'33.7980"" N"," 121°35'55.7654"" W",83,2,4,73,340,361,314,6/30/16,6/27/17,6/18/18
GB,1809,2,GB-1809-2,Ridge ," 46°55'33.6705"" N"," 121°35'55.3825"" W",2,32,64,5,340,361,314,7/1/16,7/3/17,6/21/18
GB,1809,3,GB-1809-3,Ridge ," 46°55'33.8169"" N"," 121°35'55'4565"" W",42,33,54,56,340,361,314,6/30/16,6/29/17,6/21/18
GB,1809,4,GB-1809-4,Slope," 46°55'33.0177"" N"," 121°35'56.9251"" W",89,72,74,14,340,361,314,6/30/16,6/25/17,6/25/18
GB,1809,5,GB-1809-5,Slope," 46°55'33.3468"" N"," 121°35'55.5344"" W",16,34,34,8,340,361,314,7/1/16,6/30/17,6/10/18
GB,1809,6,GB-1809-6,Slope," 46°55'33.1841"" N"," 121°35'55.2649"" W",27,31,12,17,340,361,314,6/29/16,6/24/17,6/11/18
GB,1809,7,GB-1809-7,Cove," 46°55'33.0133"" N"," 121°35'56.9240"" W",76,96,69,73,340,361,314,6/26/16,6/20/17,6/11/18
GB,1809,8,GB-1809-8,Cove," 46°55'32.9318"" N"," 121°35'56.2865"" W",36,96,91,77,340,361,314,7/2/16,6/27/17,6/19/18
GB,1809,9,GB-1809-9,Cove," 46°55'32.8903"" N"," 121°35'55.8433"" W",14,84,96,34,340,361,314,7/2/16,6/27/17,6/17/18
GB,1940,1,GB-1940-1,Ridge ," 46°53'52.0452"" N"," 121°42'1.0543"" W",87,88,96,83,337,346,313,7/19/16,7/7/17,6/22/18
GB,1940,2,GB-1940-2,Ridge ," 46°53'51.9356"" N"," 121°42'0.9087"" W",96,80,74,96,337,346,313,7/10/16,7/6/17,6/23/18
GB,1940,3,GB-1940-3,Ridge ," 46°53'51.5617"" N"," 121°42'0.7265"" W",96,70,94,96,337,346,313,7/1/16,7/1/17,6/19/18
GB,1940,4,GB-1940-4,Slope," 46°53'51.7101"" N"," 121°41'58.9825"" W",94,92,96,78,337,346,313,6/24/16,6/16/17,5/4/18
GB,1940,5,GB-1940-5,Slope," 46°53'51.4507"" N"," 121°41'59.1534"" W",79,96,56,96,337,346,313,6/28/16,6/27/17,6/19/18
GB,1940,6,GB-1940-6,Slope," 46°53'51.1643"" N"," 121°41'58.9414"" W",23,96,70,74,337,346,313,7/19/16,7/4/17,6/18/18
GB,1940,7,GB-1940-7,Cove," 46°53'51.4980"" N"," 121°41'58.3060"" W",81,96,94,79,337,346,313,7/19/16,7/3/17,6/19/18
GB,1940,8,GB-1940-8,Cove," 46°53'51.2788"" N"," 121°41'58.4036"" W",60,94,55,96,337,346,313,6/30/16,6/29/17,6/20/18
GB,1940,9,GB-1940-9,Cove," 46°53'51.1532"" N"," 121°41'58.2935"" W",8,96,96,19,337,346,313,6/30/16,6/29/17,6/17/18
GB,2020,1,GB-2020-1,Ridge ," 46°53'44.9259"" N"," 121°42'18.1544"" W",72,96,69,91,314,331,290,7/18/16,7/4/17,6/23/18
GB,2020,2,GB-2020-2,Ridge ," 46°53'44.5935"" N"," 121°42'18.0043"" W",94,92,63,87,314,331,290,7/21/16,7/9/17,6/14/18
GB,2020,3,GB-2020-3,Ridge ," 46°53'44.4158"" N"," 121°42'17.8990"" W",96,96,96,96,314,331,290,7/21/16,7/9/17,6/13/18
GB,2020,4,GB-2020-4,Slope," 46°53'44.8388"" N"," 121°42'17.6494"" W",91,96,96,90,314,331,290,7/21/16,7/9/17,6/25/18
GB,2020,5,GB-2020-5,Slope," 46°53'44.7346"" N"," 121°42'17.5516"" W",91,96,96,83,314,331,290,7/20/16,7/9/17,6/25/18
GB,2020,6,GB-2020-6,Slope," 46°53'44.5662"" N"," 121°42'17.3095"" W",77,96,70,96,314,331,290,7/19/16,7/9/17,6/26/18
GB,2020,7,GB-2020-7,Cove," 46°53'45.0855"" N"," 121°42'16.6503"" W",96,96,96,96,314,331,290,7/18/16,7/8/17,6/27/18
GB,2020,8,GB-2020-8,Cove," 46°53'44.9270"" N"," 121°42'16.5429"" W",96,96,96,96,314,331,290,7/18/16,7/12/17,7/2/18
GB,2020,9,GB-2020-9,Cove," 46°53'44.7669"" N"," 121°42'16.7255"" W",84,96,96,96,314,331,290,7/18/16,7/12/17,7/3/18
